crime_type,latitude,longitude,geometry
OTHER OFFENSE,41.838982099,-87.646299864,POINT (-87.646299864 41.838982099)
OTHER OFFENSE,41.839120324,-87.641439644,POINT (-87.641439644 41.839120324)
OTHER OFFENSE,41.836940865,-87.648681263,POINT (-87.648681263 41.836940865)
THEFT,41.800863342,-87.664766276,POINT (-87.664766276 41.800863342)
OFFENSE INVOLVING CHILDREN,41.811363517,-87.666278426,POINT (-87.666278426 41.811363517)
ROBBERY,41.806793065,-87.664180118,POINT (-87.664180118 41.806793065)
SEX OFFENSE,41.800624017,-87.648825932,POINT (-87.648825932 41.800624017)
INTERFERENCE WITH PUBLIC OFFICER,41.810416701,-87.665327205,POINT (-87.665327205 41.810416701)
PUBLIC PEACE VIOLATION,41.79675373,-87.668303954,POINT (-87.668303954 41.79675373)
NARCOTICS,41.807495991,-87.677091292,POINT (-87.677091292 41.807495991)
BATTERY,41.799765636,-87.646165129,POINT (-87.646165129 41.799765636)
NARCOTICS,41.798835772,-87.669577037,POINT (-87.669577037 41.798835772)
NARCOTICS,41.800863342,-87.664766276,POINT (-87.664766276 41.800863342)
OTHER OFFENSE,41.806734011,-87.670086047,POINT (-87.670086047 41.806734011)
PUBLIC PEACE VIOLATION,41.813985829,-87.655290305,POINT (-87.655290305 41.813985829)
ROBBERY,41.808042175,-87.677104058,POINT (-87.677104058 41.808042175)
BATTERY,41.807769669,-87.661297945,POINT (-87.661297945 41.807769669)
BATTERY,41.797022081,-87.674392638,POINT (-87.674392638 41.797022081)
OTHER OFFENSE,41.80264292,-87.651445162,POINT (-87.651445162 41.80264292)
BATTERY,41.797046142,-87.661021252,POINT (-87.661021252 41.797046142)
BATTERY,41.802669989,-87.655090533,POINT (-87.655090533 41.802669989)
NARCOTICS,41.804101797,-87.661039189,POINT (-87.661039189 41.804101797)
BATTERY,41.794886668,-87.674330165,POINT (-87.674330165 41.794886668)
OFFENSE INVOLVING CHILDREN,41.805839015,-87.66246249,POINT (-87.66246249 41.805839015)
WEAPONS VIOLATION,41.806133835,-87.661256356,POINT (-87.661256356 41.806133835)
OTHER OFFENSE,41.800858994,-87.66354869,POINT (-87.66354869 41.800858994)
THEFT,41.795874892,-87.662995487,POINT (-87.662995487 41.795874892)
NARCOTICS,41.794635218,-87.642736088,POINT (-87.642736088 41.794635218)
BATTERY,41.795830016,-87.645195004,POINT (-87.645195004 41.795830016)
PROSTITUTION,41.814827597,-87.645017362,POINT (-87.645017362 41.814827597)
PUBLIC PEACE VIOLATION,41.808101843,-87.66981518,POINT (-87.66981518 41.808101843)
WEAPONS VIOLATION,41.79455731,-87.674322538,POINT (-87.674322538 41.79455731)
CRIMINAL DAMAGE,41.794224033,-87.65154174,POINT (-87.65154174 41.794224033)
BATTERY,41.808101843,-87.66981518,POINT (-87.66981518 41.808101843)
BATTERY,41.809582055,-87.666205207,POINT (-87.666205207 41.809582055)
NARCOTICS,41.806665713,-87.676347847,POINT (-87.676347847 41.806665713)
NARCOTICS,41.794678073,-87.674324968,POINT (-87.674324968 41.794678073)
HOMICIDE,41.803691863,-87.676994406,POINT (-87.676994406 41.803691863)
NARCOTICS,41.796012564,-87.653268412,POINT (-87.653268412 41.796012564)
PROSTITUTION,41.804334145,-87.644212748,POINT (-87.644212748 41.804334145)
KIDNAPPING,41.803072258,-87.672313423,POINT (-87.672313423 41.803072258)
ASSAULT,41.794553764,-87.645168317,POINT (-87.645168317 41.794553764)
BURGLARY,41.800757543,-87.657472607,POINT (-87.657472607 41.800757543)
SEX OFFENSE,41.803843637,-87.662413619,POINT (-87.662413619 41.803843637)
HOMICIDE,41.794033403,-87.663924134,POINT (-87.663924134 41.794033403)
MOTOR VEHICLE THEFT,41.797891133,-87.675674658,POINT (-87.675674658 41.797891133)
CRIMINAL DAMAGE,41.813312219,-87.666324236,POINT (-87.666324236 41.813312219)
CRIMINAL DAMAGE,41.804705944,-87.675806698,POINT (-87.675806698 41.804705944)
NARCOTICS,41.808003528,-87.657656876,POINT (-87.657656876 41.808003528)
MOTOR VEHICLE THEFT,41.801209623,-87.676267883,POINT (-87.676267883 41.801209623)
BATTERY,41.797411035,-87.641591409,POINT (-87.641591409 41.797411035)
ASSAULT,41.794526301,-87.645164943,POINT (-87.645164943 41.794526301)
CRIM SEXUAL ASSAULT,41.807917966,-87.66981341,POINT (-87.66981341 41.807917966)
NARCOTICS,41.807990364,-87.660088877,POINT (-87.660088877 41.807990364)
SEX OFFENSE,41.796684726,-87.665869564,POINT (-87.665869564 41.796684726)
ASSAULT,41.809674355,-87.645560384,POINT (-87.645560384 41.809674355)
DECEPTIVE PRACTICE,41.808855912,-87.664976619,POINT (-87.664976619 41.808855912)
NARCOTICS,41.807495991,-87.677091292,POINT (-87.677091292 41.807495991)
INTERFERENCE WITH PUBLIC OFFICER,41.798858937,-87.668362872,POINT (-87.668362872 41.798858937)
PROSTITUTION,41.800322602,-87.664746224,POINT (-87.664746224 41.800322602)
BATTERY,41.808634077,-87.645527495,POINT (-87.645527495 41.808634077)
ASSAULT,41.797286045,-87.659812184,POINT (-87.659812184 41.797286045)
PUBLIC PEACE VIOLATION,41.808147803,-87.664961971,POINT (-87.664961971 41.808147803)
PUBLIC PEACE VIOLATION,41.802524043,-87.658734055,POINT (-87.658734055 41.802524043)
OTHER OFFENSE,,,POINT EMPTY
CRIMINAL DAMAGE,41.807975943,-87.644236075,POINT (-87.644236075 41.807975943)
DECEPTIVE PRACTICE,41.815399239,-87.66514337,POINT (-87.66514337 41.815399239)
ASSAULT,41.803882561,-87.675789442,POINT (-87.675789442 41.803882561)
LIQUOR LAW VIOLATION,41.800671638,-87.667196188,POINT (-87.667196188 41.800671638)
BATTERY,41.801833715,-87.676947352,POINT (-87.676947352 41.801833715)
CRIMINAL TRESPASS,41.807068409,-87.643915688,POINT (-87.643915688 41.807068409)
NARCOTICS,41.807738845,-87.66495155,POINT (-87.66495155 41.807738845)
CRIMINAL TRESPASS,41.798652448,-87.674438283,POINT (-87.674438283 41.798652448)
BATTERY,41.795628805,-87.642762094,POINT (-87.642762094 41.795628805)
NARCOTICS,41.809898313,-87.6389958,POINT (-87.6389958 41.809898313)
ASSAULT,41.807118941,-87.641365944,POINT (-87.641365944 41.807118941)
OFFENSE INVOLVING CHILDREN,,,POINT EMPTY
THEFT,41.797848451,-87.67684866,POINT (-87.67684866 41.797848451)
ASSAULT,41.79967597,-87.650457054,POINT (-87.650457054 41.79967597)
NARCOTICS,41.810022437,-87.665012178,POINT (-87.665012178 41.810022437)
OTHER OFFENSE,41.806386902,-87.657615177,POINT (-87.657615177 41.806386902)
OTHER OFFENSE,41.801575737,-87.64597708,POINT (-87.64597708 41.801575737)
OTHER OFFENSE,41.806059723,-87.661253462,POINT (-87.661253462 41.806059723)
DECEPTIVE PRACTICE,41.808645557,-87.661846328,POINT (-87.661846328 41.808645557)
MOTOR VEHICLE THEFT,41.797180707,-87.66953177,POINT (-87.66953177 41.797180707)
MOTOR VEHICLE THEFT,41.802588016,-87.651442076,POINT (-87.651442076 41.802588016)
